"","ID","clust","nh","region","district","ez","loc2","loc5","loc3","region_Western","region_Central","region_Greater_Accra","region_Volta","region_Eastern","region_Ashanti","region_Brong_Ahafo","region_Northern","region_Upper_East","region_Upper_West","ez_Costal","ez_Forest","ez_Savannah","loc2_Rural","loc2_Urban","farmer","fishing","own_business","farm_size","profit","profit_per_acre","profit_usd","profit_per_acre_usd","profit_log","profit_per_acre_log","pid","spouse_live_hh","sex_male","agey","educ_none","educ_bece","educ_voc","educ_O_level","educ_sss","educ_a_level","educ_t_cert","educ_nurse","educ_tech","educ_bach","educ_master","educ_phd","educ_other","educ_advanced","do_math","light_eletricity","light_generator","light_others","cooking_full_gas","cooking_full_eletricity","cooking_other","toilet_flush","toilet_latrine","toilet_others","wall_mud","wall_wood","wall_iron","wall_stone","wall_cement","wall_other","harvest_sold_pre","harvest_sold_gate","harvest_sold_market","harvest_sold_consumer","harvest_sold_state_org","harvest_sold_coop","paid_at_sale","paid_at_week","paid_at_month","paid_at_over_m","males_on_farme","females_on_farme","workers_on_farm","most_impor_farming","most_impor_fishing","moto_road","moto_road_impassable","have_bar","have_post_of_pub_telephone","have_bank","have_daily_mkt","have_week_mkt","public_transp","people_come_for_job_farming","have_hospital","have_agric_ext_center","have_cooperative","any_farm_use_fert","any_farm_use_inset_herb","any_farm_use_irrigate","mutual_aid_farm","fitted","residuals","stand_res"
"2239","4839_15",4839,15,"Northern",1,"Savannah","Rural","Rural_Savannah","Rural",0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,TRUE,TRUE,9,5302405.47619048,589156.164021164,1493.63534540577,165.959482822863,15.924953798317,13.7277292209808,1,TRUE,TRUE,50,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,13.2982723233222,0.429456897658605,0.818997931241481
"2240","4839_16",4839,16,"Northern",1,"Savannah","Rural","Rural_Savannah","Rural",0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,TRUE,FALSE,14,2204123.57142857,157437.397959184,620.879879275654,44.3485628054039,15.4536075223781,12.8145501927629,1,TRUE,TRUE,52,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,12.8106265771745,0.00392361558839913,0.00748400660624701
"2241","4839_17",4839,17,"Northern",1,"Savannah","Rural","Rural_Savannah","Rural",0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,TRUE,FALSE,7,2721963.33333333,388851.904761905,766.750234741784,109.535747820255,15.5495010973826,13.6035909483273,1,TRUE,TRUE,51,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15,8,23,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,13.6042276860096,-0.00063673768223554,-0.00121493423185824
"2242","4839_18",4839,18,"Northern",1,"Savannah","Rural","Rural_Savannah","Rural",0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,TRUE,FALSE,6,1372583.33333333,228763.888888889,386.643192488263,64.4405320813772,15.2773362655512,13.4855767963231,1,TRUE,TRUE,21,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30,0,30,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,13.7254025974729,-0.239825801149804,-0.457987924597659
"2243","4839_19",4839,19,"Northern",1,"Savannah","Rural","Rural_Savannah","Rural",0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,TRUE,TRUE,5,2626900,525380,739.971830985916,147.994366197183,15.5325724861703,13.9231345737362,1,TRUE,TRUE,37,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,13.7502592025017,0.172875371234466,0.32964896482588
"2244","4839_20",4839,20,"Northern",1,"Savannah","Rural","Rural_Savannah","Rural",0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,TRUE,TRUE,5,306245,61249,86.2661971830986,17.2532394366197,14.9933928862412,13.3839549738071,1,TRUE,TRUE,60,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,3,15,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,13.7211208992765,-0.337165925469349,-0.643085363332934
"2245","4842_1",4842,1,"Northern",2,"Savannah","Rural","Rural_Savannah","Rural",0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,TRUE,FALSE,14,292299.047619048,20878.5034013605,82.3377598926895,5.88126856376353,14.9890892597923,12.350031930177,1,TRUE,TRUE,65,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,5,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,12.6919741647273,-0.341942234550243,-0.652188037784948
"2246","4842_2",4842,2,"Northern",2,"Savannah","Rural","Rural_Savannah","Rural",0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,TRUE,FALSE,6,208677.857142857,34779.6428571429,58.7824949698189,9.79708249496982,14.9628884567968,13.1711289875687,1,FALSE,FALSE,54,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,2,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,13.584434438346,-0.413305450777248,-0.788646978831788
"2247","4842_3",4842,3,"Northern",2,"Savannah","Rural","Rural_Savannah","Rural",0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,TRUE,TRUE,10,416963.809523809,41696.3809523809,117.454594232059,11.7454594232059,15.0269182374461,12.724333144452,1,TRUE,TRUE,32,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,4,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,13.1189660653206,-0.394632920868556,-0.752431008813628
"2248","4842_4",4842,4,"Northern",2,"Savannah","Rural","Rural_Savannah","Rural",0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,TRUE,FALSE,5,182969.285714286,36593.8571428571,51.5406438631791,10.3081287726358,14.9546933165326,13.3452554040985,1,FALSE,FALSE,48,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,13.6973671560894,-0.352111751990904,-0.671860022518863
