educ_lv,s2aq2,educ_categ,categID
None,1,None,1
MSLC/BECE,2,SecondaryEducation,2
Voc/Comm,3,SecondaryEducation,2
O'Level,4,SecondaryEducation,2
SSS,5,SecondaryEducation,2
A'Level,6,SecondaryEducation,2
T/TCertB,7,VocationalEducation,3
T/TCertA,8,VocationalEducation,3
Nursing,9,VocationalEducation,3
Tech/ProfCert,10,HigherEducation,4
Tech/ProfDip,11,HigherEducation,4
Bachelor,12,HigherEducation,4
Master,13,HigherEducation,4
Doctoral,14,HigherEducation,4
Other,96,Others,5
